name	l:label	uid	type	obtainable	command	label	entity:string_array
	Token,DBPedia>Conjunction_(grammar)		token			and	DBPedia>Conjunction_(grammar)
	Token,DBPedia>Chicken		token			chicken	DBPedia>Chicken
	Token,DBPedia>Black		token			black	DBPedia>Black
	Token,DBPedia>Bean		token			bean	DBPedia>Bean
	Token,DBPedia>Sauce		token			sauce	DBPedia>Sauce
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>NewInstructionOfNouns	NewInstructionOfNouns	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l29.  hunan combination lunch special	Item,Obtainable,l29.  hunan combination lunch special	N922	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l29.  hunan combination lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l29.  hunan combination lunch special	
	Token,~NoTag		token			l29	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			hunan	~NoTag
	Token,~NoTag		token			combination	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
appetizers	Group	N924	group				
1.  vegetable  roll (2)	Item,Obtainable,1.  vegetable  roll (2)	N943	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	1.  vegetable  roll (2)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	1.  vegetable  roll (2)	
	Token,DBPedia>1_(number)		token			1	DBPedia>1_(number)
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,~NoTag		token			roll	~NoTag
	Token,~NoTag		token			(2)	~NoTag
	Hypergraph		hypergraph		CommandNet>UnitsOfX	UnitsOfX	
2.  spring roll (2)	Item,Obtainable,2.  spring roll (2)	N944	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	2.  spring roll (2)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	2.  spring roll (2)	
	Token,DBPedia>2_(number)		token			2	DBPedia>2_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			spring	~NoTag
	Token,~NoTag		token			roll	~NoTag
	Token,~NoTag		token			(2)	~NoTag
3.  egg roll	Item,Obtainable,3.  egg roll	N945	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	3.  egg roll	
	Hypergraph		hypergraph		CommandNet>NewInstruction	3.  egg roll	
	Token,DBPedia>Bean_salad,DBPedia>3_(number)		token			3	DBPedia>Bean_salad,DBPedia>3_(number)
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			egg	~NoTag
	Token,~NoTag		token			roll	~NoTag
4.  fried wonton (10)	Item,Obtainable,4.  fried wonton (10)	N946	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	4.  fried wonton (10)	
	Hypergraph		hypergraph		CommandNet>NewInstruction	4.  fried wonton (10)	
	Token,DBPedia>4_(number)		token			4	DBPedia>4_(number)
